page_number,segment_count,has_items,item_ids,standards,years,question_numbers
743,1,yes,g11_social-studies_US.24C_2019_q57,US.24(C),2019,57
744,1,yes,g11_social-studies_US.25C_2021_q62,US.25(C),2021,62
745,1,yes,g11_social-studies_US.26A_2017_q65,US.26(A),2017,65
746,1,yes,g11_social-studies_US.26A_2015_q36,US.26(A),2015,36
747,1,yes,g11_social-studies_US.26A_2014_q33,US.26(A),2014,33
748,1,yes,g11_social-studies_US.26B_2022_q40,US.26(B),2022,40
749,1,yes,g11_social-studies_US.26B_2019_q15,US.26(B),2019,15
750,1,yes,g11_social-studies_US.26C_2025_q35,US.26(C),2025,35
751,1,yes,g11_social-studies_US.26C_2023_q64,US.26(C),2023,64
752,1,yes,g11_social-studies_US.26C_2022_q68,US.26(C),2022,68
753,1,yes,g11_social-studies_US.26C_2021_q16,US.26(C),2021,16
754,1,yes,g11_social-studies_US.26C_2019_q53,US.26(C),2019,53
755,1,yes,g11_social-studies_US.26C_2015_q60,US.26(C),2015,60
756,1,yes,g11_social-studies_US.26C_2013_q54,US.26(C),2013,54
757,1,yes,g11_social-studies_US.27A_2023_q49,US.27(A),2023,49
758,1,yes,g11_social-studies_US.27A_2022_q66,US.27(A),2022,66
759,1,yes,g11_social-studies_US.27A_2018_q43,US.27(A),2018,43
760,1,yes,g11_social-studies_US.27A_2015_q27,US.27(A),2015,27
761,1,yes,g11_social-studies_US.27A_2014_q65,US.27(A),2014,65
762,1,yes,g11_social-studies_US.27B_2025_q5,US.27(B),2025,5
763,2,yes,g11_social-studies_US.27B_2022_q22; g11_social-studies_US.27B_2021_q64,US.27(B); US.27(B),2022; 2021,22; 64
764,1,yes,g11_social-studies_US.27B_2018_q4,US.27(B),2018,4
765,1,yes,g11_social-studies_US.27B_2013_q4,US.27(B),2013,4
766,0,no,,,,
